0.0013; 0.5636; 0.0007;
0.1933; 0.8087; 0.1557;
0.5850; 0.4799; 0.2770;
0.3503; 0.8959; 0.3087;
0.8228; 0.7466; 0.5764;
0.1741; 0.8589; 0.1490;
0.7105; 0.5135; 0.3568;
0.3040; 0.0150; 0.0046;
0.0914; 0.3644; 0.0333;
0.1473; 0.1659; 0.0244;
0.9885; 0.4457; 0.4264;
0.1191; 0.0047; 0.0006;
0.0089; 0.3779; 0.0034;
0.5316; 0.5712; 0.2990;
0.6017; 0.6071; 0.3573;
0.1662; 0.6630; 0.1100;
0.4508; 0.3521; 0.1581;
0.0570; 0.6077; 0.0347;
0.7833; 0.8026; 0.5881;
0.5199; 0.3019; 0.1563;
0.8759; 0.7267; 0.5944;
0.9559; 0.9257; 0.7738;
0.5393; 0.1423; 0.0767;
0.4621; 0.2353; 0.1085;
0.8622; 0.2096; 0.1797;
0.7796; 0.8436; 0.6113;
0.9968; 0.9997; 0.8395;
0.6115; 0.3924; 0.2377;
0.2662; 0.2973; 0.0791;
0.8401; 0.0237; 0.0199;
0.3759; 0.0926; 0.0348;
0.6772; 0.0562; 0.0381;
0.0088; 0.9188; 0.0081;
0.2759; 0.2729; 0.0752;
0.5879; 0.6912; 0.3952;
0.8376; 0.7265; 0.5716;
0.4849; 0.2054; 0.0994;
0.7437; 0.4684; 0.3414;
0.4579; 0.9491; 0.4211;
0.7444; 0.1083; 0.0805;
0.5990; 0.3852; 0.2287;
0.7350; 0.6089; 0.4328;
0.5724; 0.3613; 0.2053;
0.1516; 0.2251; 0.0341;
0.4251; 0.8029; 0.3347;
0.5171; 0.9900; 0.4898;
0.7515; 0.3456; 0.2568;
0.1690; 0.6573; 0.1108;
0.4919; 0.0635; 0.0312;
0.6997; 0.5048; 0.3459;
0.1475; 0.9496; 0.1396;
0.1416; 0.9051; 0.1278;
0.6929; 0.3030; 0.2084;
0.4265; 0.0704; 0.0300;
0.9666; 0.6832; 0.6134;
0.1532; 0.8772; 0.1340;
0.8217; 0.5820; 0.4602;
0.1913; 0.1779; 0.0340;
0.8172; 0.4753; 0.3787;
0.1555; 0.5039; 0.0783;
0.7320; 0.4056; 0.2925;
0.2796; 0.5687; 0.1583;
0.6822; 0.7558; 0.4931;
0.7219; 0.4753; 0.3364;
0.1230; 0.3678; 0.0452;
0.8347; 0.0351; 0.0293;
0.5170; 0.6630; 0.3361;
0.4262; 0.1047; 0.0446;
0.9493; 0.9214; 0.7673;
0.5495; 0.3460; 0.1890;
0.4717; 0.3750; 0.1760;
0.8470; 0.3169; 0.2652;
0.4561; 0.2719; 0.1237;
0.9829; 0.2978; 0.2885;
0.7392; 0.5673; 0.4071;
0.1960; 0.7613; 0.1486;
0.8394; 0.3976; 0.3276;
0.5009; 0.8901; 0.4312;
0.0275; 0.9946; 0.0273;
0.5726; 0.0505; 0.0289;
0.5313; 0.1941; 0.1029;
0.8430; 0.6267; 0.5041;
0.6576; 0.1978; 0.1297;
0.8421; 0.1233; 0.1037;
0.1099; 0.7431; 0.0816;
0.3141; 0.9410; 0.2913;
0.2861; 0.3363; 0.0961;
0.1403; 0.7331; 0.1026;
0.8346; 0.7080; 0.5571;
0.6002; 0.7472; 0.4336;
0.2527; 0.1445; 0.0365;
0.0016; 0.0610; 0.0001;
0.8062; 0.8526; 0.6345;
0.2106; 0.1156; 0.0243;
0.5532; 0.0143; 0.0079;
0.1138; 0.4545; 0.0517;
0.7522; 0.6861; 0.4935;
0.5434; 0.0739; 0.0401;
0.4367; 0.2019; 0.0881;
0.6962; 0.2903; 0.2008;
